Profit, Revenue, Cost
17488578.8, 17533600, 45021.2
17433107.6, 17478400, 45292.4
17438520.4, 17483700, 45179.6
17285261.2, 17330100, 44838.8
17401473.2, 17446300, 44826.8
17515975.6, 17561400, 45424.4
17464754.8, 17509800, 45045.2
17450606.0, 17495500, 44894.0
17530043.6, 17575600, 45556.4
17433554.8, 17478600, 45045.2
17570050.0, 17615400, 45350.0
17585665.2, 17630900, 45234.8
17404051.6, 17448900, 44848.4
17456186.0, 17501500, 45314.0
17376430.0, 17421600, 45170.0
17503362.8, 17548600, 45237.2
17454099.6, 17499200, 45100.4
17398539.6, 17443700, 45160.4
17568571.6, 17613900, 45328.4
17434880.4, 17479700, 44819.6
17375306.8, 17420400, 45093.2
17352967.6, 17397900, 44932.4
17484745.2, 17530100, 45354.8
17495882.8, 17541000, 45117.2
17406700.4, 17451700, 44999.6
17486102.0, 17531200, 45098.0
17442549.2, 17487700, 45150.8
17402066.0, 17446900, 44834.0
17452236.4, 17497200, 44963.6
17471526.0, 17516600, 45074.0
17472498.8, 17517700, 45201.2
17390286.0, 17435300, 45014.0
17398669.2, 17443700, 45030.8
17281444.4, 17326300, 44855.6
17525407.6, 17570700, 45292.4
17562750.0, 17608100, 45350.0
17472064.4, 17517400, 45335.6
17470668.4, 17515800, 45131.6
17335696.4, 17380300, 44603.6
17460882.0, 17505800, 44918.0
17442887.6, 17488000, 45112.4
17336981.2, 17381700, 44718.8
17454393.2, 17499400, 45006.8
17492838.8, 17537800, 44961.2
17438004.4, 17483100, 45095.6
17398986.8, 17443900, 44913.2
17433524.4, 17478500, 44975.6
17356322.8, 17401200, 44877.2
17600677.2, 17646200, 45522.8
17560038.8, 17605300, 45261.2
17311240.4, 17356000, 44759.6
17494934.0, 17540200, 45266.0
17362837.2, 17407700, 44862.8
17371858.0, 17416800, 44942.0
17516561.2, 17561700, 45138.8
17651094.0, 17696600, 45506.0
17383722.0, 17428700, 44978.0
17416531.6, 17461500, 44968.4
17388841.2, 17434100, 45258.8
17480379.6, 17525600, 45220.4
17474478.0, 17519600, 45122.0
17450714.0, 17495800, 45086.0
17436790.0, 17481900, 45110.0
17503087.6, 17548500, 45412.4
17358709.2, 17403500, 44790.8
17454133.2, 17498900, 44766.8
17443413.2, 17488300, 44886.8
17494325.2, 17539500, 45174.8
17451734.0, 17496700, 44966.0
